Title,Link,Author,Level,Date,Duration,Average Rating,No of Users
Understanding and Applying Factor Analysis and PCA,https://www.pluralsight.com/courses/understanding-applying-factor-analysis-pca,Vitthal Srinivasan,Intermediate,Mar 8 2017,2h 35m,4.5/5.0,33
Understanding and Applying Financial Risk Modeling Techniques,https://www.pluralsight.com/courses/financial-risk-modeling-techniques,Vitthal Srinivasan,Intermediate,Apr 16 2017,2h 52m,4.5/5.0,14
Understanding and Applying Linear Regression,https://www.pluralsight.com/courses/understanding-applying-linear-regression,Vitthal Srinivasan,Beginner,Feb 9 2017,4h 12m,4.0/5.0,45
Understanding and Applying Logistic Regression,https://www.pluralsight.com/courses/understanding-applying-logistic-regression,Vitthal Srinivasan,Intermediate,Mar 30 2017,2h 22m,4.0/5.0,22
Understanding and Applying Numerical Optimization Techniques,https://www.pluralsight.com/courses/numerical-optimization-techniques,Vitthal Srinivasan,Intermediate,May 3 2017,3h 59m,4.0/5.0,11
Unit Testing with Python,https://www.pluralsight.com/courses/unit-testing-python,Emily Bache,Intermediate,Oct 31 2013,2h 58m,4.5/5.0,254
Visualizing Statistical Data Using Seaborn,https://www.pluralsight.com/courses/seaborn-visualizing-statistical-data,Janani Ravi,Beginner,Jun 6 2018,1h 43m,No Reviews Yet.,No Reviews Yet.
Web Development with Django and AngularJS,https://www.pluralsight.com/courses/django-angularjs-web-development,Reindert-Jan Ekker,Intermediate,Nov 6 2016,3h 42m,4.0/5.0,54
What's New in Django 1.7 and 1.8,https://www.pluralsight.com/courses/django-1-7-whats-new,Reindert-Jan Ekker,Intermediate,Oct 6 2015,59m,4.5/5.0,46
What's New in Python 3.7,https://www.pluralsight.com/courses/python-whats-new,Anthony Shaw,Intermediate,May 31 2018,56m,5.0/5.0,29
Working with Dates and Times in Python,https://www.pluralsight.com/courses/python-times-dates,Georgy Pashkov,Advanced,Nov 2 2017,2h 2m,No Reviews Yet.,No Reviews Yet.
Working with Graph Algorithms in Python,https://www.pluralsight.com/courses/graph-algorithms-python,Janani Ravi,Beginner,Jul 18 2017,2h 14m,5.0/5.0,30
Working with Multidimensional Data Using NumPy,https://www.pluralsight.com/courses/numpy-working-with-multidimensional-data,Janani Ravi,Beginner,Jun 21 2018,1h 43m,4.0/5.0,24
Writing Burp Suite Macros and Plugins,https://www.pluralsight.com/courses/writing-burp-suite-macros-plugins,Sunny Wear,Advanced,Nov 19 2017,2h 48m,No Reviews Yet.,No Reviews Yet.
